username,follower_num,following_num,is_private,is_verified,has_clips,highlight_reel_count,is_business_account,edge_felix_video_timeline,edge_owner_to_timeline_media,username_len,fullname_len,bio_len,Digits_in_username,Number_of_nonalphabetic_in_fullname,Number_of_HashtagsMentions,Has_external_url,Has_business_category_name,Has_category_enum,Has_category_name
guglielmo_mascio,934,669,False,False,True,1,False,3,346,16,9,0,0,0,0,True,False,False,False
spadaro_giov,1511,1230,False,False,True,0,True,9,31,12,16,43,0,0,0,True,True,True,True
veronica_elena_berlingieri,1236,1785,True,False,False,0,False,0,1086,26,26,0,0,0,0,True,False,False,False
spicycigarettes,1213,1967,False,False,True,6,False,2,83,15,8,80,0,0,1,True,False,False,False
vaulx_music,815,3939,False,False,True,3,True,1,25,11,5,49,0,0,0,True,True,True,True
aaiaoia,1638,1413,False,False,True,10,False,6,27,7,8,23,0,0,0,False,False,False,False
andreapicarellaa,518,740,False,False,False,0,True,0,211,16,16,37,0,0,0,False,True,True,True
gianluca_vitiello_radio_deejay,37722,1367,False,False,True,1,True,19,1002,30,39,150,0,0,1,True,False,False,False
nancynoisedj,6990,936,False,False,True,13,False,27,1144,12,11,146,0,0,0,True,False,False,False
cristina_moschella,1262,1976,False,False,True,10,False,0,1076,18,18,57,0,0,1,True,False,False,False
giulia_guz,645,635,True,False,False,0,False,0,615,10,0,0,0,0,0,False,False,False,False
brunelle__,878,604,True,False,True,0,False,1,1223,10,5,82,0,0,3,False,False,False,False
gsal22,328,1727,True,False,False,0,False,0,20,6,11,0,2,0,0,False,False,False,False
youngcheriwa,325,668,True,False,False,0,False,0,14,12,14,0,0,0,0,False,False,False,False
djtennis,129837,3816,False,True,True,9,True,23,2844,8,9,10,0,0,0,True,True,True,True
gramigna_dj,935,830,True,False,True,0,False,273,858,11,8,0,0,0,0,True,False,False,False
quattrifolio1964,363,616,False,False,True,5,True,11,771,16,12,141,4,0,0,True,True,True,True
antonson_sa,655,1251,False,False,True,2,False,0,233,11,8,23,0,0,0,False,False,False,False
ezepazzelli,3023,2866,False,False,True,7,True,0,123,11,11,143,0,0,1,True,True,True,True
laura____ci,382,1081,True,False,False,0,False,0,440,11,10,0,0,0,0,False,False,False,False
the_blue_note_,198,247,False,False,False,0,False,0,8,14,15,40,0,0,1,False,False,False,False
katoelchamacodetoluca,637,511,False,False,True,0,False,2,208,21,16,16,0,0,0,False,False,False,False
wtf_attitude,2565,1814,False,False,True,15,False,7,1107,12,3,135,0,0,1,True,False,False,False
e.a.galvez,956,685,False,False,True,29,False,3,86,10,20,66,0,0,2,True,False,False,False
lauramspinelli,342,650,True,False,False,0,False,0,50,14,14,95,0,0,0,False,False,False,False
latenite79,1835,1773,False,False,True,5,False,0,264,10,10,56,2,0,0,True,False,False,False
nuqakaniama,255,499,True,False,False,0,False,0,351,11,5,4,0,0,0,False,False,False,False
joshjaskiewicz,596,1430,True,False,False,0,False,0,281,14,15,7,0,0,0,False,False,False,False
wild.cheyenne,727,1173,True,False,False,0,False,0,51,13,13,0,0,0,0,False,False,False,False
drin_drin87,400,863,True,False,False,0,False,0,529,11,17,0,2,0,0,False,False,False,False
tartelet_records,13925,4452,False,False,True,14,True,1,380,16,16,137,0,0,2,True,True,True,True
illtakeyouto,54164,981,False,False,True,9,False,5,289,12,11,45,0,0,0,False,False,False,False
